M,N,K,l1_tile_M,l1_tile_N,l1_tile_K,l1_loop_order,l0_M_tiling_factor,l0_N_tiling_factor,l0_K_tiling_factor,dataflow,cycle_count
64,128,2048,64,64,128,knm,1,1,4,os,1184
64,128,2048,64,64,128,knm,1,4,1,os,800
64,128,2048,64,64,64,knm,4,1,1,os,544
64,128,2048,64,64,64,knm,1,2,2,os,672
64,128,2048,64,64,64,knm,2,1,2,os,672
64,128,2048,64,64,64,knm,2,2,1,os,544
64,128,2048,64,64,64,knm,1,1,4,os,928
64,128,2048,64,64,64,knm,1,4,1,os,544
64,128,1024,32,32,512,knm,4,1,1,os,1090
64,128,1024,32,32,512,knm,1,2,2,os,659
64,128,1024,32,32,512,knm,2,1,2,os,659
64,128,1024,32,32,512,knm,2,2,1,os,627
64,128,1024,32,32,512,knm,1,1,4,os,723
64,128,1024,32,32,512,knm,1,4,1,os,1090
64,128,1024,32,32,256,knm,4,1,1,os,657
64,128,1024,32,32,256,knm,1,2,2,os,403
64,128,1024,32,32,256,knm,2,1,2,os,403
64,128,1024,32,32,256,knm,2,2,1,os,371
64,128,1024,32,32,256,knm,1,1,4,os,467
64,128,1024,32,32,256,knm,1,4,1,os,657
64,128,1024,32,32,128,knm,4,1,1,os,401
64,128,1024,32,32,128,knm,1,2,2,os,275
64,128,1024,32,32,128,knm,2,1,2,os,275
64,128,1024,32,32,128,knm,2,2,1,os,243
64,128,1024,32,32,128,knm,1,1,4,os,339
64,128,1024,32,32,128,knm,1,4,1,os,401
64,128,1024,32,32,64,knm,4,1,1,os,451
64,128,1024,32,32,64,knm,1,2,2,os,327
64,128,1024,32,32,64,knm,2,1,2,os,327
64,128,1024,32,32,64,knm,2,2,1,os,263
64,128,1024,32,32,64,knm,1,1,4,os,455
64,128,1024,32,32,64,knm,1,4,1,os,451
64,128,1024,32,32,32,knm,4,1,1,os,415
64,128,1024,32,32,32,knm,1,2,2,os,325
64,128,1024,32,32,32,knm,2,1,2,os,325
64,128,1024,32,32,32,knm,2,2,1,os,229
64,128,1024,32,32,32,knm,1,1,4,os,517
64,128,1024,32,32,32,knm,1,4,1,os,415
64,128,1024,64,64,256,knm,4,1,1,os,1137
64,128,1024,64,64,256,knm,1,2,2,os,1145
64,128,1024,64,64,256,knm,2,1,2,os,1145
64,128,1024,64,64,256,knm,2,2,1,os,1137
64,128,1024,64,64,256,knm,1,1,4,os,1161
64,128,1024,64,64,256,knm,1,4,1,os,1137
64,128,1024,64,64,128,knm,4,1,1,os,723
64,128,1024,64,64,128,knm,1,2,2,os,851
64,128,1024,64,64,128,knm,2,1,2,os,851
64,128,1024,64,64,128,knm,2,2,1,os,723
64,128,1024,64,64,128,knm,1,1,4,os,1107
64,128,1024,64,64,128,knm,1,4,1,os,723
64,128,1024,64,64,64,knm,4,1,1,os,467
64,128,1024,64,64,64,knm,1,2,2,os,595
64,128,1024,64,64,64,knm,2,1,2,os,595
64,128,1024,64,64,64,knm,2,2,1,os,467
64,128,1024,64,64,64,knm,1,1,4,os,851
64,128,1024,64,64,64,knm,1,4,1,os,467
64,128,1024,64,64,32,knm,4,1,1,os,339
64,128,1024,64,64,32,knm,1,2,2,os,467
64,128,1024,64,64,32,knm,2,1,2,os,467
64,128,1024,64,64,32,knm,2,2,1,os,339
64,128,1024,64,64,32,knm,1,1,4,os,723
64,128,1024,64,64,32,knm,1,4,1,os,339
128,64,8192,32,32,512,knm,4,1,1,os,2551
128,64,4096,32,32,512,knm,4,1,1,os,1321
128,64,8192,32,32,512,knm,1,2,2,os,1689
128,64,4096,32,32,512,knm,1,2,2,os,890
128,64,8192,32,32,512,knm,2,1,2,os,1689
128,64,4096,32,32,512,knm,2,1,2,os,890
128,64,8192,32,32,512,knm,2,2,1,os,1625
128,64,4096,32,32,512,knm,2,2,1,os,858
128,64,8192,32,32,512,knm,1,1,4,os,1817
128,64,4096,32,32,512,knm,1,1,4,os,954
128,64,8192,32,32,512,knm,1,4,1,os,2551
128,64,4096,32,32,512,knm,1,4,1,os,1321
128,64,8192,32,32,256,knm,4,1,1,os,1992
128,64,4096,32,32,256,knm,4,1,1,os,1419
128,64,8192,32,32,256,knm,1,2,2,os,1230
128,64,4096,32,32,256,knm,1,2,2,os,911
128,64,8192,32,32,256,knm,2,1,2,os,1230
128,64,4096,32,32,256,knm,2,1,2,os,911
128,64,8192,32,32,256,knm,2,2,1,os,1134
128,64,4096,32,32,256,knm,2,2,1,os,847
128,64,8192,32,32,256,knm,1,1,4,os,1422
128,64,4096,32,32,256,knm,1,1,4,os,1039
128,64,8192,32,32,256,knm,1,4,1,os,1992
128,64,4096,32,32,256,knm,1,4,1,os,1419
128,64,8192,64,64,256,knm,4,1,1,os,1675
128,64,4096,64,64,256,knm,4,1,1,os,1368
128,64,8192,64,64,256,knm,1,2,2,os,1683
128,64,4096,64,64,256,knm,1,2,2,os,1376
128,64,8192,64,64,256,knm,2,1,2,os,1683
128,64,4096,64,64,256,knm,2,1,2,os,1376
128,64,8192,64,64,256,knm,2,2,1,os,1675
128,64,4096,64,64,256,knm,2,2,1,os,1368
128,64,8192,64,64,256,knm,1,1,4,os,1699
128,64,4096,64,64,256,knm,1,1,4,os,1392
128,64,8192,64,64,256,knm,1,4,1,os,1675
128,64,4096,64,64,256,knm,1,4,1,os,1368
128,64,4096,32,32,128,knm,4,1,1,os,1091
128,64,4096,32,32,128,knm,1,2,2,os,713
128,64,4096,32,32,128,knm,2,1,2,os,713
128,64,4096,32,32,128,knm,2,2,1,os,617
128,64,4096,32,32,128,knm,1,1,4,os,905
128,64,4096,32,32,128,knm,1,4,1,os,1091
128,64,4096,64,64,128,knm,4,1,1,os,954
128,64,4096,64,64,128,knm,1,2,2,os,1082
128,64,4096,64,64,128,knm,2,1,2,os,1082
128,64,4096,64,64,128,knm,2,2,1,os,954
128,64,4096,64,64,128,knm,1,1,4,os,1338
128,64,4096,64,64,128,knm,1,4,1,os,954
128,64,2048,32,32,512,knm,4,1,1,os,1167
128,64,2048,32,32,512,knm,1,2,2,os,736
128,64,2048,32,32,512,knm,2,1,2,os,736
128,64,2048,32,32,512,knm,2,2,1,os,704
128,64,2048,32,32,512,knm,1,1,4,os,800
128,64,2048,32,32,512,knm,1,4,1,os,1167
128,64,2048,32,32,256,knm,4,1,1,os,734
128,64,2048,32,32,256,knm,1,2,2,os,480
128,64,2048,32,32,256,knm,2,1,2,os,480
128,64,2048,32,32,256,knm,2,2,1,os,448
128,64,2048,32,32,256,knm,1,1,4,os,544
128,64,2048,32,32,256,knm,1,4,1,os,734
128,64,2048,32,32,128,knm,4,1,1,os,774
128,64,2048,32,32,128,knm,1,2,2,os,522
128,64,2048,32,32,128,knm,2,1,2,os,522
128,64,2048,32,32,128,knm,2,2,1,os,458
128,64,2048,32,32,128,knm,1,1,4,os,650
128,64,2048,32,32,128,knm,1,4,1,os,774
128,64,2048,32,32,64,knm,4,1,1,os,641
128,64,2048,32,32,64,knm,1,2,2,os,455
128,64,2048,32,32,64,knm,2,1,2,os,455
128,64,2048,32,32,64,knm,2,2,1,os,359
128,64,2048,32,32,64,knm,1,1,4,os,647
128,64,2048,32,32,64,knm,1,4,1,os,641
128,64,2048,64,64,256,knm,4,1,1,os,1214
128,64,2048,64,64,256,knm,1,2,2,os,1222
128,64,2048,64,64,256,knm,2,1,2,os,1222
128,64,2048,64,64,256,knm,2,2,1,os,1214
128,64,2048,64,64,256,knm,1,1,4,os,1238
128,64,2048,64,64,256,knm,1,4,1,os,1214
128,64,2048,64,64,128,knm,4,1,1,os,800
128,64,2048,64,64,128,knm,1,2,2,os,928
128,64,2048,64,64,128,knm,2,1,2,os,928
128,64,2048,64,64,128,knm,2,2,1,os,800
128,64,2048,64,64,128,knm,1,1,4,os,1184
128,64,2048,64,64,128,knm,1,4,1,os,800
128,64,2048,64,64,64,knm,4,1,1,os,544
128,64,2048,64,64,64,knm,1,2,2,os,672
128,64,2048,64,64,64,knm,2,1,2,os,672
128,64,2048,64,64,64,knm,2,2,1,os,544
128,64,2048,64,64,64,knm,1,1,4,os,928
128,64,2048,64,64,64,knm,1,4,1,os,544
128,64,1024,32,32,512,knm,4,1,1,os,1090
128,64,1024,32,32,512,knm,1,2,2,os,659
128,64,1024,32,32,512,knm,2,1,2,os,659
128,64,1024,32,32,512,knm,2,2,1,os,627
128,64,1024,32,32,512,knm,1,1,4,os,723
128,64,1024,32,32,512,knm,1,4,1,os,1090
