B, M, K, N, latency
1, 272, 4096, 8192, 3.2476864452912355e-05
1, 272, 8192, 14336, 0.00010411867174741427
1, 272, 14336, 8192, 0.00010596243875884595
1, 136, 8192, 512, 3.7049537289058246e-06
2, 8, 128, 256, 8.385471481279866e-08
2, 8, 256, 128, 8.438789088489687e-08
2, 8, 128, 512, 1.301481884715418e-07
2, 8, 512, 128, 1.3174771668783646e-07
2, 8, 128, 1024, 2.1456964858162464e-07
2, 8, 1024, 128, 2.1666878364483157e-07
2, 8, 128, 2048, 3.670815943869836e-07
2, 8, 2048, 128, 3.690912115163612e-07
2, 8, 128, 4096, 6.721054859977016e-07
2, 8, 4096, 128, 6.739360672594206e-07
2, 8, 128, 8192, 1.2821532692191374e-06
2, 8, 8192, 128, 1.2836257787455393e-06
2, 8, 128, 16384, 2.5022488356620094e-06
2, 8, 16384, 128, 2.5030052017177767e-06
2, 8, 128, 32768, 4.942439968547753e-06
2, 8, 32768, 128, 4.941764047662251e-06
1, 136, 2048, 8192, 1.0983124659771366e-05
1, 136, 8192, 7168, 3.4144801306477955e-05
1, 136, 7168, 8192, 3.6131736526946105e-05
1, 272, 8192, 512, 5.535655960805661e-06
1, 272, 2048, 8192, 1.7732716385410997e-05
1, 272, 8192, 7168, 5.408927599346761e-05
1, 272, 7168, 8192, 5.7843767011431685e-05
1, 272, 8192, 256, 3.5133369624387588e-06
1, 8, 128, 256, 5.5525313010342954e-08
1, 8, 256, 128, 5.606967882416984e-08
1, 8, 128, 512, 8.383233532934132e-08
1, 8, 512, 128, 8.383233532934132e-08
1, 8, 128, 1024, 1.30647795318454e-07
1, 8, 1024, 128, 1.311921611322809e-07
1, 8, 128, 2048, 2.155688622754491e-07
1, 8, 2048, 128, 2.16113228089276e-07
1, 8, 128, 4096, 3.6799129014697877e-07
1, 8, 4096, 128, 3.685356559608057e-07
1, 8, 128, 8192, 6.728361458900381e-07
1, 8, 8192, 128, 6.73380511703865e-07
1, 8, 128, 16384, 1.2825258573761568e-06
1, 8, 16384, 128, 1.2830702231899837e-06
1, 8, 128, 32768, 2.501905280348394e-06
1, 8, 32768, 128, 2.502449646162221e-06
1, 272, 1024, 8192, 1.0295590636908003e-05
1, 272, 8192, 3584, 2.8787152966793685e-05
1, 272, 3584, 8192, 3.245617855198693e-05
1, 34, 8192, 4096, 1.8867719107240064e-05
1, 34, 8192, 1024, 5.027762656505172e-06
1, 34, 4096, 8192, 1.8724006532389767e-05
1, 34, 8192, 14336, 6.463799673380512e-05
1, 34, 14336, 8192, 6.494229722373436e-05
1, 34, 8192, 512, 2.6913445835601522e-06
1, 34, 2048, 8192, 9.553075666848123e-06
1, 34, 8192, 7168, 3.2598802395209584e-05
1, 34, 7168, 8192, 3.282253674469243e-05
1, 68, 8192, 512, 3.0724006532389765e-06
1, 68, 2048, 8192, 9.964616222101253e-06
1, 68, 8192, 7168, 3.295590636908002e-05
1, 68, 7168, 8192, 3.378551986935221e-05
1, 68, 8192, 256, 1.7827980402830701e-06
1, 68, 1024, 8192, 5.373979314099075e-06
1, 68, 8192, 3584, 1.687534022863364e-05
1, 68, 3584, 8192, 1.7736526946107785e-05
1, 136, 8192, 256, 2.297223734349483e-06
1, 136, 1024, 8192, 6.585737615677736e-06
1, 136, 8192, 3584, 1.794229722373435e-05
1, 136, 3584, 8192, 1.951497005988024e-05
1, 136, 512, 8192, 4.158410451823626e-06
1, 136, 8192, 1792, 9.841045182362547e-06
1, 136, 1792, 8192, 1.2002721829069134e-05
1, 272, 512, 8192, 6.502449646162221e-06
1, 272, 8192, 1792, 1.5764289602612955e-05
1, 272, 1792, 8192, 1.909961894393032e-05
1, 272, 256, 8192, 4.479041916167665e-06
1, 272, 8192, 896, 9.14534567229178e-06
1, 272, 896, 8192, 1.261458900381056e-05
1, 36, 8192, 8192, 3.71883505715841e-05
1, 36, 8192, 2048, 9.657593903102886e-06
1, 36, 8192, 28672, 0.00012872890582471422
1, 36, 28672, 8192, 0.00012964561785519868
1, 72, 8192, 8192, 3.76053347849755e-05
1, 72, 8192, 2048, 1.001252041371802e-05
1, 72, 8192, 28672, 0.00012958138268916712
1, 72, 28672, 8192, 0.0001315405552531301
1, 144, 8192, 8192, 3.888241698421339e-05
1, 144, 8192, 2048, 1.1054436581382689e-05
1, 144, 8192, 28672, 0.00013164235166031573
1, 144, 28672, 8192, 0.00013598149156232987
1, 288, 8192, 8192, 6.157267283614589e-05
1, 288, 8192, 2048, 1.7727817093086556e-05
1, 288, 8192, 28672, 0.00020300544365813827
1, 288, 28672, 8192, 0.0002077898747958628
1, 72, 8192, 4096, 1.921012520413718e-05
1, 72, 8192, 1024, 5.413718018508438e-06
1, 72, 4096, 8192, 1.9191616766467064e-05
1, 72, 8192, 14336, 6.519814915623299e-05
1, 72, 14336, 8192, 6.602776265650517e-05
1, 144, 8192, 4096, 2.0330430048992924e-05
1, 144, 8192, 1024, 6.416439847577572e-06
1, 144, 4096, 8192, 2.0295046271094176e-05
1, 144, 8192, 14336, 6.671039738704409e-05
1, 144, 14336, 8192, 6.851442569406641e-05
1, 288, 8192, 4096, 3.2564507348938484e-05
