M, N, latency
1152, 26624, 4.454365269461078e-05
1152, 13312, 2.227182634730539e-05
1152, 6656, 1.1135913173652695e-05
1152, 3328, 5.567956586826347e-06
1152, 1664, 2.7962425149700597e-06
1152, 832, 1.3981212574850298e-06
1152, 416, 7.113248502994012e-07
1280, 53248, 9.894773952095809e-05
1280, 26624, 4.9473869760479044e-05
1280, 13312, 2.4749199101796407e-05
1280, 6656, 1.238686377245509e-05
1280, 3328, 6.2056961077844305e-06
1280, 1664, 3.1151122754491017e-06
1280, 832, 1.5698203592814373e-06
1280, 416, 7.849101796407187e-07
1536, 53248, 0.00011874219311377246
1536, 26624, 5.9383360778443115e-05
1536, 13312, 2.9703944610778442e-05
1536, 6656, 1.4864236526946107e-05
1536, 3328, 7.432118263473054e-06
1536, 1664, 3.728323353293413e-06
1536, 832, 1.8641616766467065e-06
1536, 416, 9.320808383233532e-07
2049, 53248, 0.0001584046856287425
2049, 26624, 7.920234281437126e-05
2049, 13312, 3.961343562874251e-05
2049, 6656, 1.9818982035928144e-05
2049, 3328, 9.909491017964072e-06
2049, 1664, 4.954745508982036e-06
2049, 832, 2.477372754491018e-06
2049, 416, 1.2509505988023953e-06
2050, 53248, 0.00015847827095808383
2050, 26624, 7.925139970059881e-05
2050, 13312, 3.963796407185629e-05
2050, 6656, 1.9818982035928144e-05
2050, 3328, 9.909491017964072e-06
