B, M, K, N, latency
1, 128, 256, 16384, 4.223734349482853e-06
1, 128, 16384, 832, 9.59009254218835e-06
1, 128, 832, 16384, 1.1802939575394665e-05
1, 256, 256, 16384, 6.919978225367447e-06
1, 256, 16384, 832, 1.3215024496461622e-05
1, 256, 832, 16384, 2.0212847033206313e-05
1, 256, 16384, 128, 3.636363636363636e-06
1, 256, 128, 16384, 5.245508982035928e-06
1, 256, 16384, 416, 7.688622754491018e-06
1, 256, 416, 16384, 1.4480130647795319e-05
1, 384, 16384, 16384, 0.00027892596624931956
1, 384, 16384, 2048, 3.89798584648884e-05
8, 4096, 128, 256, 9.001275025706164e-06
8, 4096, 256, 128, 6.555618460049597e-06
1, 384, 16384, 53248, 0.0008920430048992924
1, 384, 53248, 16384, 0.0009031524224278715
1, 384, 16384, 8192, 0.00014267773543821447
1, 384, 16384, 1024, 2.0930321175830158e-05
4, 4096, 128, 256, 4.183531119579024e-06
4, 4096, 256, 128, 3.5517546724732355e-06
1, 384, 8192, 16384, 0.0001411393576483397
1, 384, 16384, 26624, 0.00044923625476320087
1, 384, 26624, 16384, 0.0004583663581927055
1, 384, 16384, 4096, 7.389112683723462e-05
1, 384, 16384, 512, 1.1315732172019598e-05
2, 4096, 128, 256, 2.5901191556281377e-06
2, 4096, 256, 128, 1.9736115647492892e-06
1, 384, 4096, 16384, 7.415841045182363e-05
1, 384, 16384, 13312, 0.00022783287969515515
1, 384, 13312, 16384, 0.00023103919433859553
1, 384, 16384, 256, 6.8965704953728906e-06
1, 4096, 128, 256, 1.457267283614589e-06
1, 4096, 256, 128, 1.301578660860098e-06
1, 384, 2048, 16384, 4.065487207403375e-05
1, 384, 16384, 6656, 0.0001175302123026674
1, 384, 6656, 16384, 0.0001267974959172564
1, 384, 1024, 16384, 2.390745781164943e-05
1, 384, 16384, 3328, 6.283015786608601e-05
1, 384, 3328, 16384, 7.201578660860098e-05
1, 384, 512, 16384, 1.458138268916712e-05
1, 384, 16384, 1664, 3.464888405008165e-05
1, 384, 1664, 16384, 4.532117583015786e-05
8, 32, 128, 256, 2.8315248291296196e-07
8, 32, 256, 128, 2.7685114619246354e-07
4, 64, 128, 256, 2.2644892034113592e-07
4, 64, 256, 128, 1.7609871166757396e-07
2, 128, 128, 256, 1.8181818181818183e-07
