M, N, latency
516, 26624, 2.0772435129740518e-05
516, 13312, 1.0411736526946107e-05
516, 6656, 5.205868263473054e-06
516, 3328, 2.602934131736527e-06
516, 1664, 1.3269860279441118e-06
516, 832, 6.634930139720559e-07
516, 416, 3.5726546906187623e-07
520, 53248, 4.1851097804391216e-05
520, 26624, 2.0925548902195608e-05
520, 13312, 1.0462774451097804e-05
520, 6656, 5.2569061876247504e-06
520, 3328, 2.6539720558882236e-06
520, 1664, 1.3269860279441118e-06
520, 832, 6.634930139720559e-07
520, 416, 3.5726546906187623e-07
528, 53248, 4.246355289421158e-05
528, 26624, 2.123177644710579e-05
528, 13312, 1.0615888223552894e-05
528, 6656, 5.307944111776447e-06
528, 3328, 2.6539720558882236e-06
528, 1664, 1.3269860279441118e-06
528, 832, 6.634930139720559e-07
528, 416, 3.5726546906187623e-07
544, 53248, 4.379053892215569e-05
544, 26624, 2.1895269461077843e-05
544, 13312, 1.097315369261477e-05
544, 6656, 5.5120958083832335e-06
544, 3328, 2.7560479041916167e-06
544, 1664, 1.3780239520958084e-06
544, 832, 7.145309381237525e-07
544, 416, 3.5726546906187623e-07
576, 53248, 4.634243512974052e-05
576, 26624, 2.317121756487026e-05
576, 13312, 1.158560878243513e-05
576, 6656, 5.818323353293413e-06
576, 3328, 2.9091616766467066e-06
576, 1664, 1.4800998003992015e-06
576, 832, 7.655688622754491e-07
576, 416, 4.0830339321357284e-07
640, 53248, 5.149726546906187e-05
640, 26624, 2.5774151696606785e-05
640, 13312, 1.2912594810379242e-05
640, 6656, 6.481816367265469e-06
640, 3328, 3.2664271457085827e-06
640, 1664, 1.6332135728542914e-06
640, 832, 8.166067864271457e-07
640, 416, 4.0830339321357284e-07
1024, 53248, 8.237520958083832e-05
1024, 26624, 4.118760479041916e-05
1024, 13312, 2.0619321357285428e-05
1024, 6656, 1.0309660678642714e-05
1024, 3328, 5.154830339321357e-06
1024, 1664, 2.602934131736527e-06
1024, 832, 1.3269860279441118e-06
1024, 416, 6.634930139720559e-07
1025, 53248, 8.247728542914171e-05
1025, 26624, 4.1238642714570855e-05
