M, N, latency
384, 26624, 3.8449021276595744e-05
48, 13312, 2.403063829787234e-06
96, 13312, 4.806127659574468e-06
192, 13312, 9.612255319148936e-06
384, 13312, 1.9224510638297872e-05
96, 6656, 2.403063829787234e-06
192, 6656, 4.806127659574468e-06
384, 6656, 9.612255319148936e-06
192, 3328, 2.403063829787234e-06
384, 3328, 4.806127659574468e-06
384, 1664, 2.403063829787234e-06
6, 53248, 1.2323404255319147e-06
6, 26624, 6.161702127659574e-07
12, 26624, 1.2323404255319147e-06
12, 13312, 6.161702127659574e-07
24, 13312, 1.2323404255319147e-06
24, 6656, 6.161702127659574e-07
48, 6656, 1.2323404255319147e-06
48, 3328, 6.161702127659574e-07
96, 3328, 1.2323404255319147e-06
96, 1664, 6.161702127659574e-07
192, 1664, 1.2323404255319147e-06
192, 832, 6.161702127659574e-07
384, 832, 1.2323404255319147e-06
384, 416, 6.161702127659574e-07
16, 53248, 3.2040851063829787e-06
32, 53248, 6.408170212765957e-06
64, 53248, 1.2816340425531915e-05
128, 53248, 2.563268085106383e-05
256, 53248, 5.126536170212766e-05
512, 53248, 0.00010253072340425532
32, 26624, 3.2040851063829787e-06
64, 26624, 6.408170212765957e-06
128, 26624, 1.2816340425531915e-05
256, 26624, 2.563268085106383e-05
512, 26624, 5.126536170212766e-05
64, 13312, 3.2040851063829787e-06
128, 13312, 6.408170212765957e-06
256, 13312, 1.2816340425531915e-05
512, 13312, 2.563268085106383e-05
128, 6656, 3.2040851063829787e-06
256, 6656, 6.408170212765957e-06
512, 6656, 1.2816340425531915e-05
256, 3328, 3.2040851063829787e-06
512, 3328, 6.408170212765957e-06
512, 1664, 3.2040851063829787e-06
4, 53248, 8.010212765957447e-07
8, 53248, 1.6020425531914893e-06
8, 26624, 8.010212765957447e-07
16, 26624, 1.6020425531914893e-06
16, 13312, 8.010212765957447e-07
32, 13312, 1.6020425531914893e-06
32, 6656, 8.010212765957447e-07
64, 6656, 1.6020425531914893e-06
64, 3328, 8.010212765957447e-07
128, 3328, 1.6020425531914893e-06
128, 1664, 8.010212765957447e-07
256, 1664, 1.6020425531914893e-06
256, 832, 8.010212765957447e-07
512, 832, 1.6020425531914893e-06
512, 416, 8.010212765957447e-07
768, 53248, 0.00015379608510638298
768, 26624, 7.689804255319149e-05
768, 13312, 3.8449021276595744e-05
768, 6656, 1.9224510638297872e-05
768, 3328, 9.612255319148936e-06
768, 1664, 4.806127659574468e-06
768, 832, 2.403063829787234e-06
768, 416, 1.2323404255319147e-06
513, 53248, 0.0001027771914893617
513, 26624, 5.138859574468085e-05
513, 13312, 2.5694297872340426e-05
513, 6656, 1.2877957446808511e-05
513, 3328, 6.469787234042554e-06
513, 1664, 3.2657021276595745e-06
513, 832, 1.6636595744680852e-06
513, 416, 8.626382978723404e-07
514, 53248, 0.00010296204255319149
514, 26624, 5.1511829787234044e-05
514, 13312, 2.5755914893617022e-05
514, 6656, 1.2877957446808511e-05
514, 3328, 6.469787234042554e-06
514, 1664, 3.2657021276595745e-06
514, 832, 1.6636595744680852e-06
514, 416, 8.626382978723404e-07
516, 53248, 0.00010333174468085106
516, 26624, 5.169668085106383e-05
516, 13312, 2.5879148936170214e-05
516, 6656, 1.2939574468085107e-05
516, 3328, 6.469787234042554e-06
516, 1664, 3.2657021276595745e-06
516, 832, 1.6636595744680852e-06
516, 416, 8.626382978723404e-07
520, 53248, 0.0001041327659574468
520, 26624, 5.20663829787234e-05
520, 13312, 2.6064e-05
520, 6656, 1.3062808510638298e-05
520, 3328, 6.531404255319149e-06
520, 1664, 3.2657021276595745e-06
520, 832, 1.6636595744680852e-06
520, 416, 8.626382978723404e-07
528, 53248, 0.00010573480851063828
528, 26624, 5.286740425531914e-05
528, 13312, 2.643370212765957e-05
528, 6656, 1.3247659574468085e-05
528, 3328, 6.654638297872341e-06
528, 1664, 3.3273191489361704e-06
528, 832, 1.6636595744680852e-06
528, 416, 8.626382978723404e-07
544, 53248, 0.00010893889361702127
544, 26624, 5.446944680851064e-05
544, 13312, 2.723472340425532e-05
544, 6656, 1.361736170212766e-05
544, 3328, 6.839489361702127e-06
544, 1664, 3.4505531914893616e-06
544, 832, 1.7252765957446808e-06
544, 416, 8.626382978723404e-07
576, 53248, 0.00011534706382978723
576, 26624, 5.7673531914893616e-05
576, 13312, 2.8836765957446808e-05
576, 6656, 1.4418382978723404e-05
576, 3328, 7.209191489361702e-06
576, 1664, 3.635404255319149e-06
576, 832, 1.8485106382978723e-06
576, 416, 9.242553191489361e-07
640, 53248, 0.00012816340425531915
640, 26624, 6.408170212765957e-05
640, 13312, 3.204085106382979e-05
640, 6656, 1.6020425531914893e-05
640, 3328, 8.010212765957447e-06
640, 1664, 4.005106382978723e-06
640, 832, 2.03336170212766e-06
640, 416, 1.0474893617021276e-06
1024, 53248, 0.00020506144680851063
1024, 26624, 0.00010253072340425532
1024, 13312, 5.126536170212766e-05
1024, 6656, 2.563268085106383e-05
1024, 3328, 1.2816340425531915e-05
1024, 1664, 6.408170212765957e-06
1024, 832, 3.2040851063829787e-06
1024, 416, 1.6020425531914893e-06
1025, 53248, 0.00020530791489361703
1025, 26624, 0.00010265395744680852
1025, 13312, 5.132697872340426e-05
1025, 6656, 2.5694297872340426e-05
1025, 3328, 1.2877957446808511e-05
1025, 1664, 6.469787234042554e-06
1025, 832, 3.2657021276595745e-06
1025, 416, 1.6636595744680852e-06
1026, 53248, 0.00020549276595744682
1026, 26624, 0.0001027771914893617
1026, 13312, 5.138859574468085e-05
1026, 6656, 2.5694297872340426e-05
1026, 3328, 1.2877957446808511e-05
1026, 1664, 6.469787234042554e-06
1026, 832, 3.2657021276595745e-06
1026, 416, 1.6636595744680852e-06
1028, 53248, 0.0002058624680851064
1028, 26624, 0.00010296204255319149
1028, 13312, 5.1511829787234044e-05
1028, 6656, 2.5755914893617022e-05
1028, 3328, 1.2877957446808511e-05
1028, 1664, 6.469787234042554e-06
1028, 832, 3.2657021276595745e-06
1028, 416, 1.6636595744680852e-06
1032, 53248, 0.00020666348936170212
1032, 26624, 0.00010333174468085106
1032, 13312, 5.169668085106383e-05
1032, 6656, 2.5879148936170214e-05
1032, 3328, 1.2939574468085107e-05
1032, 1664, 6.469787234042554e-06
1032, 832, 3.2657021276595745e-06
1032, 416, 1.6636595744680852e-06
1040, 53248, 0.0002082655319148936
1040, 26624, 0.0001041327659574468
1040, 13312, 5.20663829787234e-05
1040, 6656, 2.6064e-05
1040, 3328, 1.3062808510638298e-05
1040, 1664, 6.531404255319149e-06
1040, 832, 3.2657021276595745e-06
1040, 416, 1.6636595744680852e-06
1056, 53248, 0.00021146961702127657
1056, 26624, 0.00010573480851063828
1056, 13312, 5.286740425531914e-05
1056, 6656, 2.643370212765957e-05
1056, 3328, 1.3247659574468085e-05
1056, 1664, 6.654638297872341e-06
1056, 832, 3.3273191489361704e-06
1056, 416, 1.6636595744680852e-06
1088, 53248, 0.00021787778723404255
1088, 26624, 0.00010893889361702127
1088, 13312, 5.446944680851064e-05
1088, 6656, 2.723472340425532e-05
1088, 3328, 1.361736170212766e-05
1088, 1664, 6.839489361702127e-06
1088, 832, 3.4505531914893616e-06
1088, 416, 1.7252765957446808e-06
1152, 53248, 0.00023069412765957446
1152, 26624, 0.00011534706382978723
1152, 13312, 5.7673531914893616e-05
1152, 6656, 2.8836765957446808e-05
1152, 3328, 1.4418382978723404e-05
1152, 1664, 7.209191489361702e-06
1152, 832, 3.635404255319149e-06
1152, 416, 1.8485106382978723e-06
1280, 53248, 0.0002563268085106383
1280, 26624, 0.00012816340425531915
1280, 13312, 6.408170212765957e-05
1280, 6656, 3.204085106382979e-05
1280, 3328, 1.6020425531914893e-05
1280, 1664, 8.010212765957447e-06
1280, 832, 4.005106382978723e-06
1280, 416, 2.03336170212766e-06
1536, 53248, 0.00030759217021276595
1536, 26624, 0.00015379608510638298
1536, 13312, 7.689804255319149e-05
1536, 6656, 3.8449021276595744e-05
1536, 3328, 1.9224510638297872e-05
1536, 1664, 9.612255319148936e-06
1536, 832, 4.806127659574468e-06
1536, 416, 2.403063829787234e-06
2049, 53248, 0.0004103693617021276
2049, 26624, 0.0002051846808510638
2049, 13312, 0.0001025923404255319
2049, 6656, 5.132697872340426e-05
2049, 3328, 2.5694297872340426e-05
2049, 1664, 1.2877957446808511e-05
2049, 832, 6.469787234042554e-06
2049, 416, 3.2657021276595745e-06
2050, 53248, 0.00041055421276595745
2050, 26624, 0.00020530791489361703
2050, 13312, 0.00010265395744680852
2050, 6656, 5.132697872340426e-05
2050, 3328, 2.5694297872340426e-05
2050, 1664, 1.2877957446808511e-05
2050, 832, 6.469787234042554e-06
2050, 416, 3.2657021276595745e-06
2052, 53248, 0.000410923914893617
2052, 26624, 0.00020549276595744682
2052, 13312, 0.0001027771914893617
2052, 6656, 5.138859574468085e-05
2052, 3328, 2.5694297872340426e-05
2052, 1664, 1.2877957446808511e-05
